Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Year
Allen Crabbe,27,2TM,SG,37,1,653,4.5,12.6,.356,2.6,8.5,.303,1.9,4.1,.466,.458,0.7,1.0,.714,0.8,4.7,5.5,2.4,1.1,0.3,1.2,3.4,12.3,97,117,,2019-2020
Allen Crabbe,27,ATL,SG,28,1,522,4.6,12.8,.364,2.7,8.3,.323,2.0,4.5,.440,.469,0.8,1.1,.750,0.9,4.9,5.8,2.5,1.3,0.4,1.1,3.2,12.8,100,117,,2019-2020
Allen Crabbe,27,MIN,SF,9,0,131,3.9,12.0,.324,2.1,9.2,.231,1.8,2.8,.625,.412,0.4,0.7,.500,0.4,3.9,4.3,1.8,0.0,0.0,1.8,3.9,10.3,81,119,,2019-2020
James Johnson,32,2TM,PF,32,1,619,7.9,16.5,.479,2.5,7.0,.363,5.4,9.5,.565,.556,2.4,3.7,.646,1.9,7.1,9.1,5.7,1.9,2.5,3.7,6.1,20.7,107,108,,2019-2020
James Johnson,32,MIA,PF,18,0,281,6.8,15.1,.448,2.8,7.8,.356,4.0,7.3,.548,.540,1.4,2.4,.571,1.4,7.6,9.0,3.6,1.0,2.3,2.6,5.9,17.7,103,109,,2019-2020
James Johnson,32,MIN,C,14,1,338,8.8,17.6,.500,2.3,6.3,.370,6.5,11.3,.573,.566,3.2,4.7,.676,2.3,6.7,9.1,7.3,2.6,2.6,4.5,6.3,23.1,109,108,,2019-2020
Rodney Hood,27,POR,SF,21,21,619,6.7,13.2,.506,2.7,5.5,.493,4.0,7.8,.515,.608,1.6,2.1,.778,0.8,4.8,5.5,2.5,1.3,0.3,1.5,3.5,17.7,121,117,,2019-2020
Daniel Gafford,21,CHI,C,43,7,609,7.4,10.6,.701,0.0,0.0,,7.4,10.6,.701,.701,2.5,4.7,.533,4.1,4.3,8.4,1.7,1.0,4.4,2.3,7.8,17.4,124,109,,2019-2020
John Henson,29,2TM,C,40,8,600,7.7,13.9,.556,0.7,2.9,.222,7.1,11.0,.644,.579,1.9,3.7,.500,3.7,9.4,13.2,4.4,2.0,3.4,2.9,6.3,18.0,112,109,,2019-2020
John Henson,29,CLE,C,29,2,412,7.2,14.2,.508,0.7,3.7,.194,6.5,10.5,.618,.533,2.0,3.9,.515,3.8,9.7,13.5,5.1,1.9,3.8,2.5,6.5,17.1,112,109,,2019-2020
John Henson,29,DET,C,11,6,188,8.9,13.3,.667,0.5,1.3,.400,8.4,12.0,.696,.686,1.6,3.4,.462,3.7,8.9,12.6,2.9,2.1,2.6,3.9,6.0,19.9,112,108,,2019-2020
Alfonzo McKinnie,27,CLE,SF,40,1,593,6.0,14.0,.427,1.1,5.3,.215,4.8,8.7,.557,.468,1.8,2.5,.710,3.0,6.2,9.3,1.1,1.9,0.7,2.1,5.9,14.9,99,115,,2019-2020
Nickeil Alexander-Walker,21,NOP,SG,47,1,591,7.7,20.8,.368,3.6,10.4,.346,4.1,10.4,.391,.455,2.0,2.9,.676,0.7,5.9,6.6,7.0,1.3,0.6,4.2,4.5,20.9,93,113,,2019-2020
Jordan McLaughlin,23,MIN,PG,30,2,590,6.8,14.0,.489,2.3,6.0,.382,4.6,8.0,.569,.570,2.0,3.1,.667,0.6,3.3,3.9,9.8,2.7,0.3,2.4,2.4,18.0,121,113,,2019-2020
Nassir Little,19,POR,PF,48,5,573,5.4,12.6,.430,1.2,4.9,.237,4.2,7.7,.554,.477,2.3,3.7,.636,2.6,6.4,9.0,1.8,1.1,1.2,1.2,6.0,14.3,108,116,,2019-2020
Mike Muscala,28,OKC,C,47,2,572,6.5,16.1,.407,4.6,12.1,.378,2.0,3.9,.500,.550,1.5,1.9,.818,1.4,7.8,9.2,3.4,0.8,1.0,1.4,4.9,19.2,114,110,,2019-2020
Skal Labissière,23,POR,C,33,1,567,6.8,12.4,.551,0.3,1.1,.231,6.6,11.3,.582,.561,2.1,2.8,.758,5.5,8.7,14.2,3.5,0.6,2.6,2.5,7.5,16.0,121,113,,2019-2020
Gary Clark,25,2TM,PF,42,5,567,4.5,11.2,.406,3.3,9.3,.351,1.3,1.9,.682,.553,0.8,0.8,.900,3.1,6.1,9.3,1.4,0.5,1.9,0.8,3.9,13.1,120,112,,2019-2020
Gary Clark,25,HOU,PF,18,0,212,5.0,12.9,.390,3.9,11.1,.353,1.1,1.7,.625,.542,1.3,1.5,.857,2.4,6.3,8.7,2.6,0.4,1.5,0.4,4.6,15.3,126,113,,2019-2020
Gary Clark,25,ORL,SF,24,5,355,4.3,10.1,.419,2.9,8.2,.350,1.4,1.9,.714,.561,0.4,0.4,1.000,3.6,6.0,9.6,0.7,0.5,2.1,1.1,3.4,11.8,116,111,,2019-2020
Luke Kornet,24,CHI,C,36,14,559,7.1,16.1,.439,2.7,9.3,.287,4.4,6.8,.646,.521,1.7,2.4,.714,1.9,5.3,7.2,2.8,0.9,2.2,1.2,4.7,18.5,112,111,,2019-2020
Wayne Ellington,32,NYK,SG,36,1,558,5.3,15.2,.351,4.4,12.5,.350,1.0,2.7,.355,.494,1.0,1.1,.846,0.3,5.3,5.7,3.8,1.1,0.3,1.6,3.6,16.0,105,116,,2019-2020
Dennis Smith Jr.,22,NYK,PG,34,3,537,6.5,19.1,.341,1.5,4.9,.296,5.1,14.2,.357,.379,2.4,4.8,.509,1.9,5.2,7.1,8.9,2.5,0.7,5.3,5.9,17.0,84,112,,2019-2020
Troy Daniels,28,2TM,SG,47,0,532,6.5,16.7,.387,4.1,11.9,.348,2.3,4.9,.481,.511,0.9,1.4,.625,1.1,3.6,4.7,1.5,1.0,0.3,1.1,3.3,18.0,105,112,,2019-2020
Troy Daniels,28,LAL,SG,41,0,456,6.5,16.5,.392,4.2,11.7,.357,2.3,4.8,.478,.519,1.0,1.7,.625,1.3,3.5,4.8,1.5,0.8,0.3,0.9,3.1,18.1,108,112,,2019-2020
Troy Daniels,28,DEN,SG,6,0,76,6.5,18.2,.357,3.9,13.0,.300,2.6,5.2,.500,.464,0.0,0.0,,0.0,3.9,3.9,2.0,2.0,0.0,2.0,4.6,16.9,89,113,,2019-2020
Yogi Ferrell,26,SAC,PG,50,0,530,7.2,17.2,.420,2.2,7.2,.304,5.0,10.0,.505,.484,3.3,3.8,.857,0.5,3.9,4.5,6.3,1.6,0.4,2.6,3.5,20.0,107,114,,2019-2020
Victor Oladipo,27,IND,SG,19,16,528,8.9,22.6,.394,3.0,9.6,.317,5.9,13.0,.451,.461,4.4,5.4,.814,0.8,6.1,6.9,5.1,1.6,0.4,4.3,3.3,25.3,94,110,,2019-2020
Chandler Hutchison,23,CHI,SF,28,10,527,7.3,16.0,.457,1.1,3.5,.316,6.2,12.5,.496,.491,4.2,7.1,.590,1.6,8.2,9.9,2.4,2.5,0.6,2.5,4.3,19.9,101,108,,2019-2020
Trey Burke,27,2TM,PG,33,1,520,8.8,19.5,.450,3.0,7.0,.427,5.8,12.5,.463,.526,2.1,2.7,.793,1.5,3.2,4.7,7.7,1.5,0.2,2.0,3.1,22.6,117,113,,2019-2020
Trey Burke,27,PHI,PG,25,0,329,8.7,18.7,.465,2.4,5.6,.421,6.3,13.1,.483,.528,1.9,2.7,.722,2.2,2.9,5.2,7.8,1.0,0.1,1.8,3.1,21.7,119,114,,2019-2020
Trey Burke,27,DAL,PG,8,1,191,8.9,20.7,.427,4.0,9.4,.432,4.8,11.4,.422,.524,2.5,2.8,.909,0.3,3.5,3.8,7.6,2.3,0.3,2.3,3.0,24.3,115,113,,2019-2020
Blake Griffin,30,DET,PF,18,18,512,8.5,24.0,.352,2.6,10.7,.243,5.9,13.4,.439,.406,7.3,9.4,.776,1.6,6.4,8.1,5.7,0.7,0.7,3.8,2.6,26.8,97,115,,2019-2020
Quinn Cook,26,LAL,PG,44,1,508,8.5,20.0,.425,2.9,8.0,.365,5.6,12.1,.465,.498,1.0,1.3,.786,1.0,3.7,4.8,4.6,1.1,0.2,3.1,2.5,21.0,99,111,,2019-2020
Jake Layman,25,MIN,SF,23,2,505,7.4,16.5,.453,2.2,6.6,.333,5.2,9.8,.533,.520,2.2,2.9,.750,1.6,3.7,5.2,1.4,1.6,0.9,2.2,4.3,19.3,102,114,,2019-2020
Nicolas Batum,31,CHO,SF,22,3,505,2.8,8.0,.346,1.4,4.9,.286,1.4,3.2,.438,.432,0.9,1.0,.900,2.5,7.4,9.9,6.5,1.7,0.8,2.2,4.1,7.8,107,112,,2019-2020
Naz Reid,20,MIN,C,30,11,495,9.4,22.8,.412,3.0,9.1,.330,6.4,13.7,.466,.477,3.5,5.0,.698,3.2,8.4,11.6,3.3,1.8,2.1,2.1,7.8,25.2,105,110,,2019-2020
Kelan Martin,24,MIN,SF,31,4,495,6.7,17.0,.392,2.3,9.0,.260,4.3,8.0,.541,.461,2.8,2.9,.968,1.1,7.9,9.0,2.2,0.7,0.8,1.9,4.8,18.5,100,114,,2019-2020
Denzel Valentine,26,CHI,SF,36,5,488,9.6,23.4,.409,4.5,13.5,.336,5.0,9.9,.510,.506,0.6,0.8,.750,0.9,6.4,7.3,4.2,2.6,0.6,2.6,5.0,24.3,100,109,,2019-2020
Džanan Musa,20,BRK,SF,40,0,487,6.2,16.7,.372,1.8,7.6,.244,4.4,9.1,.479,.427,4.4,5.8,.750,2.0,6.3,8.4,4.2,1.5,0.1,3.5,2.9,18.7,96,111,,2019-2020
Dante Exum,24,2TM,SG,35,1,485,5.6,11.9,.471,1.5,4.3,.349,4.1,7.6,.539,.534,3.2,4.3,.744,1.2,5.5,6.7,4.0,1.3,0.8,3.1,3.8,16.0,106,115,,2019-2020
Dante Exum,24,UTA,SG,11,0,83,5.9,13.5,.435,1.2,3.5,.333,4.7,10.0,.471,.478,1.2,1.2,1.000,1.8,5.3,7.0,4.1,0.6,1.2,5.9,4.7,14.1,83,112,,2019-2020
Dante Exum,24,CLE,SG,24,1,402,5.6,11.6,.479,1.6,4.5,.351,4.0,7.1,.559,.547,3.6,5.0,.732,1.1,5.6,6.7,4.0,1.5,0.7,2.5,3.6,16.3,112,116,,2019-2020
Shaquille Harrison,26,CHI,SG,43,10,484,7.7,16.4,.467,1.6,4.2,.381,6.1,12.2,.496,.515,3.9,5.0,.780,2.2,6.4,8.6,4.9,3.4,1.9,1.9,5.5,20.8,116,105,,2019-2020
Marko Gudurić,24,MEM,SG,44,0,484,6.0,15.1,.395,2.4,8.0,.301,3.6,7.1,.500,.475,2.3,2.5,.923,1.4,5.7,7.0,4.3,1.2,0.8,3.5,3.3,16.7,97,112,,2019-2020
Cheick Diallo,23,PHO,C,47,2,479,9.1,14.0,.648,0.1,0.3,.333,9.0,13.7,.655,.651,3.4,3.9,.872,3.0,10.0,13.0,2.2,1.1,1.2,3.2,5.4,21.7,119,110,,2019-2020
Goga Bitadze,20,IND,C,54,2,471,7.2,15.5,.467,0.8,4.3,.190,6.4,11.1,.574,.493,2.5,3.4,.727,2.6,8.3,10.9,2.4,1.0,3.8,2.9,6.7,17.7,99,105,,2019-2020
JaKarr Sampson,26,IND,PF,34,12,471,7.0,11.8,.591,0.2,1.3,.154,6.8,10.5,.647,.600,1.9,2.8,.667,2.1,7.0,9.1,2.2,1.6,1.2,1.5,6.6,16.1,118,108,,2019-2020
Javonte Green,26,BOS,SG,48,2,468,6.5,13.0,.500,0.9,3.4,.273,5.6,9.6,.581,.536,2.9,4.3,.667,2.5,7.1,9.6,2.7,2.5,0.8,2.4,4.4,16.8,110,106,,2019-2020
Jahlil Okafor,24,NOP,C,30,9,467,10.0,16.1,.623,0.1,0.3,.333,9.9,15.8,.629,.627,4.0,6.1,.645,4.8,7.8,12.6,3.7,0.7,2.2,3.8,6.6,24.1,117,112,,2019-2020
Brandon Knight,28,2TM,SG,25,3,462,6.2,17.7,.353,4.8,13.9,.344,1.5,3.8,.389,.488,2.1,3.6,.588,0.4,3.9,4.3,7.3,1.1,0.3,4.0,4.2,19.4,98,117,,2019-2020
Brandon Knight,28,CLE,SG,16,0,241,5.7,17.4,.326,3.8,12.9,.297,1.8,4.4,.409,.436,0.8,2.6,.308,0.6,3.4,4.0,6.3,1.0,0.4,3.2,4.0,15.9,89,119,,2019-2020
Brandon Knight,28,DET,PG,9,3,221,6.9,18.0,.383,5.8,14.9,.388,1.1,3.1,.357,.543,3.6,4.7,.762,0.2,4.5,4.7,8.5,1.1,0.2,4.9,4.5,23.1,106,116,,2019-2020
J.J. Barea,35,DAL,PG,29,6,450,9.1,22.2,.411,3.4,9.1,.376,5.7,13.1,.434,.488,2.1,2.4,.909,1.1,4.6,5.7,12.0,0.5,0.2,4.1,2.9,23.8,109,116,,2019-2020
Edmond Sumner,24,IND,SG,31,3,447,6.6,15.4,.430,1.5,5.8,.264,5.1,9.7,.528,.479,1.7,3.1,.552,1.2,3.8,5.0,6.0,1.6,1.0,2.4,4.8,16.5,100,110,,2019-2020
Matt Thomas,25,TOR,SG,41,1,440,7.9,16.2,.487,5.1,10.7,.475,2.8,5.5,.510,.643,1.0,1.3,.750,1.0,5.6,6.6,2.4,1.1,0.1,1.7,4.1,21.8,119,109,,2019-2020
Anžejs Pasečņiks,24,WAS,C,27,0,437,6.5,12.4,.526,0.0,0.3,.000,6.5,12.1,.540,.526,3.6,6.2,.586,4.5,7.0,11.4,1.9,1.0,1.3,2.6,8.0,16.7,109,116,,2019-2020
Thabo Sefolosha,35,HOU,PF,41,0,436,3.9,9.7,.407,1.6,5.7,.278,2.3,3.9,.595,.489,0.3,0.8,.375,2.2,7.6,9.9,2.7,2.5,1.3,1.6,4.6,9.8,103,107,,2019-2020
Gary Payton II,27,WAS,SF,29,17,432,5.2,12.6,.414,1.4,5.0,.283,3.8,7.6,.500,.470,0.4,0.9,.500,2.8,5.8,8.7,5.2,3.6,0.8,2.2,5.8,12.2,103,111,,2019-2020
Brandon Goodwin,24,ATL,PG,34,1,430,8.2,20.6,.400,2.8,9.4,.299,5.4,11.2,.485,.468,3.0,3.3,.933,1.2,6.6,7.8,5.5,1.3,0.4,3.1,4.7,22.3,101,116,,2019-2020
Boban Marjanović,31,DAL,C,44,5,422,13.9,24.2,.573,0.5,1.9,.235,13.4,22.2,.603,.583,4.9,6.5,.754,7.6,15.0,22.6,2.3,0.9,1.1,3.4,6.4,33.1,120,108,,2019-2020
Jacob Evans,22,2TM,SG,29,1,418,5.2,15.3,.336,1.5,4.5,.333,3.7,10.9,.337,.384,2.9,3.3,.862,1.0,3.7,4.7,3.5,1.3,1.4,2.9,4.7,14.6,86,116,,2019-2020
Jacob Evans,22,GSW,SG,27,1,414,5.2,15.4,.338,1.5,4.4,.342,3.7,11.0,.337,.387,2.9,3.4,.862,1.0,3.7,4.7,3.6,1.3,1.4,2.9,4.7,14.8,86,116,,2019-2020
Jacob Evans,22,MIN,SG,2,0,4,0.0,11.6,.000,0.0,11.6,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,121,,2019-2020
Andre Iguodala,36,MIA,SF,21,0,418,4.4,10.3,.432,1.6,5.5,.298,2.8,4.8,.585,.511,0.7,1.8,.400,2.0,7.1,9.1,6.0,1.6,2.5,3.0,4.1,11.2,101,107,,2019-2020
PJ Dozier,23,DEN,SG,29,0,412,7.8,18.8,.414,2.0,5.9,.347,5.8,13.0,.444,.468,2.5,3.5,.724,1.2,5.4,6.6,7.6,1.7,0.7,3.2,5.4,20.2,102,112,,2019-2020
Chris Chiozza,24,2TM,PG,28,2,401,6.5,16.5,.393,3.2,8.5,.375,3.3,8.0,.412,.489,0.6,0.6,1.000,1.1,5.2,6.2,9.8,2.5,0.5,3.8,4.3,16.7,103,111,,2019-2020
Chris Chiozza,24,WAS,PG,10,0,123,3.8,12.9,.294,2.7,6.1,.438,1.1,6.8,.167,.397,0.0,0.0,,0.0,5.7,5.7,10.6,3.8,0.8,3.4,4.6,10.3,91,111,,2019-2020
Chris Chiozza,24,BRK,PG,18,2,278,7.7,18.0,.425,3.4,9.5,.357,4.3,8.5,.500,.519,0.9,0.9,1.000,1.5,4.9,6.5,9.4,1.9,0.3,3.9,4.3,19.6,107,110,,2019-2020
Robert Williams,22,BOS,C,29,1,388,8.0,10.9,.727,0.0,0.0,,8.0,10.9,.727,.727,2.7,4.2,.647,5.0,10.9,15.9,3.4,2.7,4.4,2.6,6.3,18.7,134,98,,2019-2020
Cristiano Felício,27,CHI,C,22,0,386,4.2,6.7,.630,0.0,0.2,.000,4.2,6.5,.654,.630,2.2,2.9,.783,6.9,5.9,12.7,2.0,1.2,0.2,2.2,4.2,10.7,130,112,,2019-2020
Josh Jackson,22,MEM,SF,22,0,381,8.6,19.5,.440,2.8,8.8,.319,5.8,10.7,.540,.513,4.3,6.1,.700,1.3,6.7,8.1,4.3,2.2,1.1,3.4,4.9,24.3,103,109,,2019-2020
Al-Farouq Aminu,29,ORL,PF,18,2,380,3.2,11.0,.291,1.2,4.6,.250,2.0,6.4,.320,.343,2.4,3.7,.655,3.1,8.1,11.1,2.7,2.3,1.0,2.2,3.5,10.0,88,108,,2019-2020
Noah Vonleh,24,2TM,C,36,1,377,6.4,11.4,.565,0.4,1.9,.200,6.1,9.5,.636,.582,3.1,4.0,.781,4.6,10.8,15.3,3.5,1.4,0.7,2.6,4.9,16.3,121,111,,2019-2020
Noah Vonleh,24,MIN,C,29,1,347,6.3,11.5,.547,0.3,1.9,.143,6.0,9.6,.625,.558,3.1,3.7,.821,4.5,11.0,15.5,3.5,1.5,0.8,2.5,4.8,15.9,119,111,,2019-2020
Noah Vonleh,24,DEN,C,7,0,30,8.2,9.9,.833,1.6,1.6,1.000,6.6,8.2,.800,.917,3.3,6.6,.500,4.9,8.2,13.2,3.3,0.0,0.0,3.3,6.6,21.4,136,115,,2019-2020
Willy Hernangómez,25,CHO,C,31,0,375,9.9,18.6,.532,0.7,2.9,.227,9.2,15.6,.590,.550,4.9,7.9,.627,5.7,12.2,17.9,3.9,1.3,0.9,4.0,4.3,25.4,110,110,,2019-2020
Romeo Langford,20,BOS,SG,32,2,370,3.7,10.4,.350,0.7,3.5,.185,3.0,6.9,.434,.381,2.3,3.3,.720,2.0,3.4,5.3,1.7,1.0,1.0,1.4,4.3,10.3,95,111,,2019-2020
Admiral Schofield,22,WAS,PF,33,2,368,4.4,11.7,.380,2.4,7.7,.311,2.0,3.9,.516,.484,1.3,1.9,.667,0.9,5.1,6.0,1.9,1.0,0.5,0.9,6.4,12.6,104,118,,2019-2020
Theo Pinson,24,BRK,SG,33,0,365,5.8,20.1,.290,1.9,10.4,.188,3.9,9.7,.400,.339,1.9,2.1,.938,1.3,5.7,7.0,7.3,2.2,0.5,4.3,4.5,15.6,80,109,,2019-2020
Jared Dudley,34,LAL,PF,45,1,364,3.1,7.8,.400,2.4,5.5,.429,0.8,2.4,.333,.550,0.3,0.3,1.000,0.8,6.0,6.8,3.7,2.0,0.4,1.0,5.4,8.9,117,108,,2019-2020
D.J. Wilson,23,MIL,PF,37,1,363,6.5,16.6,.394,2.3,9.2,.247,4.3,7.4,.576,.462,1.4,2.3,.611,1.5,10.1,11.6,3.1,0.4,0.6,2.4,4.2,16.7,94,105,,2019-2020
Terance Mann,23,LAC,SF,41,6,362,4.8,10.3,.468,0.9,2.6,.350,3.9,7.7,.508,.513,2.4,3.5,.667,1.3,5.9,7.2,6.9,1.4,0.7,2.4,6.0,12.9,114,109,,2019-2020
Deonte Burton,26,OKC,SF,39,0,356,5.9,17.1,.344,1.4,7.2,.189,4.5,9.8,.458,.384,1.1,1.9,.571,1.0,6.8,7.8,2.3,1.0,1.4,2.6,4.6,14.2,78,110,,2019-2020
Tim Frazier,29,DET,PG,27,11,355,4.7,13.0,.362,1.4,4.2,.333,3.3,8.9,.375,.415,2.6,3.3,.792,1.2,3.3,4.6,12.9,1.9,0.6,5.0,5.8,13.4,99,114,,2019-2020
Justise Winslow,23,MIA,SG,11,5,352,6.9,17.9,.388,0.8,3.7,.222,6.1,14.1,.431,.411,2.5,3.7,.667,2.2,7.9,10.1,6.1,1.0,0.7,3.3,5.3,17.2,93,111,,2019-2020
Carsen Edwards,21,BOS,SG,37,0,351,5.8,17.6,.328,3.3,10.5,.316,2.5,7.2,.346,.422,1.8,2.6,.684,0.8,5.6,6.5,3.3,1.7,0.6,2.1,4.7,16.6,92,109,,2019-2020
Chris Silva,23,MIA,PF,44,0,346,6.8,11.0,.615,0.0,0.4,.000,6.8,10.6,.640,.615,5.2,7.8,.673,8.5,9.3,17.8,3.2,1.3,3.0,4.5,12.0,18.8,120,106,,2019-2020
Courtney Lee,34,DAL,SG,24,9,345,5.6,11.5,.488,2.9,6.6,.447,2.7,4.9,.543,.616,0.8,1.0,.857,1.0,3.5,4.5,1.7,2.5,0.8,1.5,4.6,15.0,116,111,,2019-2020
Marvin Bagley III,20,SAC,C,13,6,334,11.3,24.3,.467,0.6,3.2,.182,10.7,21.1,.510,.479,3.6,4.5,.806,4.2,9.9,14.1,1.5,0.9,1.7,2.6,6.2,26.9,102,111,,2019-2020
Otto Porter Jr.,26,CHI,SF,14,9,331,9.0,20.4,.443,3.5,9.0,.387,5.5,11.4,.487,.529,2.8,3.9,.704,1.9,5.1,7.0,3.6,2.2,0.9,1.6,4.5,24.3,112,110,,2019-2020
Ty Jerome,22,PHO,SG,31,0,328,5.5,16.3,.336,2.0,7.2,.280,3.5,9.1,.381,.398,1.7,2.3,.750,1.0,5.6,6.6,6.4,2.2,0.4,2.6,4.2,14.7,92,111,,2019-2020
Caleb Martin,24,CHO,SF,18,1,317,5.8,13.3,.440,3.2,5.8,.541,2.7,7.4,.362,.560,2.7,3.3,.810,1.6,4.4,6.0,3.6,1.9,1.1,2.4,5.1,17.5,113,113,,2019-2020
Kyle O'Quinn,29,PHI,C,29,2,313,6.5,13.2,.494,1.1,4.2,.259,5.4,9.0,.603,.535,1.7,3.1,.550,5.3,12.7,18.0,7.9,1.1,3.7,3.1,5.7,15.8,117,104,,2019-2020
Ed Davis,30,UTA,C,28,1,303,3.5,7.4,.478,0.0,0.0,,3.5,7.4,.478,.478,1.1,2.2,.500,5.6,11.2,16.9,1.9,1.8,1.4,2.1,9.8,8.2,110,106,,2019-2020
Keldon Johnson,20,SAS,SF,17,1,301,8.4,14.1,.596,2.1,3.5,.591,6.4,10.6,.597,.669,5.6,7.0,.795,1.6,7.5,9.0,2.4,2.2,0.3,2.1,4.4,24.4,131,113,,2019-2020
Jalen McDaniels,22,CHO,SF,16,0,293,5.6,12.0,.471,1.5,4.1,.375,4.1,7.9,.522,.536,2.4,2.9,.824,2.6,8.5,11.1,2.2,1.4,0.5,1.9,6.2,15.2,112,113,,2019-2020
Allonzo Trier,24,NYK,SG,24,1,291,8.5,17.7,.481,3.2,8.9,.358,5.4,8.9,.604,.571,5.7,7.2,.791,1.0,3.8,4.9,4.7,0.5,0.7,3.7,4.9,25.9,115,118,,2019-2020
Chris Clemons,22,HOU,SG,33,0,291,9.1,22.6,.401,5.9,17.0,.346,3.2,5.6,.571,.532,1.6,1.7,.909,0.6,4.1,4.8,4.3,1.4,1.0,3.0,4.1,25.6,105,112,,2019-2020
DeMarre Carroll,33,2TM,C,24,0,290,4.0,10.7,.379,1.3,5.3,.242,2.8,5.3,.515,.439,4.7,6.8,.690,1.9,7.0,8.9,4.0,1.3,0.8,2.8,5.2,14.1,103,113,,2019-2020
DeMarre Carroll,33,SAS,SF,15,0,135,3.2,10.3,.310,1.1,4.6,.231,2.1,5.7,.375,.362,4.2,7.1,.600,2.5,8.5,11.0,3.9,0.7,0.7,3.5,7.1,11.7,88,115,,2019-2020
DeMarre Carroll,33,HOU,C,9,0,155,4.8,11.0,.432,1.5,6.0,.250,3.3,5.1,.647,.500,5.1,6.6,.773,1.5,5.7,7.2,4.2,1.8,0.9,2.1,3.6,16.1,117,111,,2019-2020
Zach Collins,22,POR,PF,11,11,290,5.3,11.2,.471,1.2,3.1,.368,4.1,8.1,.510,.522,1.0,1.3,.750,4.1,7.2,11.3,2.6,0.8,0.8,2.3,5.9,12.7,110,116,,2019-2020
Caleb Swanigan,22,2TM,PF,27,1,288,4.6,7.8,.596,0.0,0.3,.000,4.6,7.5,.622,.596,1.5,2.8,.529,4.5,12.1,16.6,5.1,0.5,1.2,6.1,10.3,10.8,95,113,,2019-2020
Caleb Swanigan,22,SAC,C,7,0,23,4.2,8.4,.500,0.0,0.0,,4.2,8.4,.500,.500,2.1,4.2,.500,4.2,10.5,14.8,4.2,2.1,4.2,12.7,16.9,10.5,61,104,,2019-2020
Caleb Swanigan,22,POR,PF,20,1,265,4.7,7.7,.605,0.0,0.4,.000,4.7,7.4,.634,.605,1.4,2.7,.533,4.5,12.2,16.7,5.2,0.4,0.9,5.6,9.7,10.8,99,114,,2019-2020
Dragan Bender,22,2TM,PF,16,3,286,6.8,15.2,.446,2.5,7.1,.349,4.3,8.1,.531,.527,1.6,2.3,.714,2.6,9.4,12.0,4.6,0.7,1.5,3.5,6.9,17.6,102,110,,2019-2020
Dragan Bender,22,MIL,C,7,0,91,5.0,10.5,.476,2.0,4.5,.444,3.0,6.0,.500,.571,1.0,1.5,.667,0.0,10.0,10.0,4.5,0.0,2.5,2.5,8.0,13.0,105,103,,2019-2020
Dragan Bender,22,GSW,PF,9,3,195,7.6,17.4,.437,2.7,8.3,.324,4.9,9.1,.541,.514,2.0,2.7,.727,3.9,9.1,13.0,4.7,1.0,1.0,3.9,6.4,19.9,101,114,,2019-2020
Michael Kidd-Gilchrist,26,2TM,PF,25,0,281,3.9,11.6,.333,0.9,3.5,.250,3.0,8.1,.370,.371,1.9,2.5,.786,2.5,9.3,11.8,2.5,0.4,1.1,2.8,6.5,10.5,85,113,,2019-2020
Michael Kidd-Gilchrist,26,CHO,PF,12,0,160,5.6,16.6,.340,1.6,5.3,.294,4.1,11.3,.361,.387,2.2,2.8,.778,2.8,8.1,11.0,3.1,0.0,0.9,2.2,5.6,15.0,91,115,,2019-2020
Michael Kidd-Gilchrist,26,DAL,PF,13,0,121,1.6,5.2,.308,0.0,1.2,.000,1.6,4.0,.400,.308,1.6,2.0,.800,2.0,10.8,12.8,1.6,0.8,1.2,3.6,7.6,4.8,71,110,,2019-2020
Drew Eubanks,22,SAS,C,22,3,272,7.6,11.8,.642,0.2,0.2,1.000,7.4,11.6,.636,.649,3.5,4.6,.769,4.9,10.0,14.9,2.6,0.9,3.0,3.7,6.5,18.8,120,111,,2019-2020
Juan Toscano-Anderson,26,GSW,SG,13,6,272,5.1,11.1,.460,1.4,4.0,.348,3.7,7.0,.525,.524,0.5,0.9,.600,1.6,7.6,9.1,4.6,2.3,0.9,2.8,5.3,12.1,98,112,,2019-2020
David Nwaba,27,BRK,SF,20,0,268,6.5,12.5,.521,2.1,4.9,.429,4.4,7.6,.581,.606,3.2,4.8,.667,1.4,6.5,7.9,1.4,1.9,2.1,1.4,5.7,18.4,120,107,,2019-2020
Isaiah Hartenstein,21,HOU,C,23,2,266,7.7,11.7,.657,0.0,0.9,.000,7.7,10.8,.710,.657,3.3,4.9,.679,5.0,10.6,15.7,3.1,1.6,2.1,2.8,7.1,18.6,128,107,,2019-2020
Kevon Looney,23,GSW,C,20,4,262,5.3,14.4,.367,0.2,2.6,.071,5.1,11.9,.431,.373,1.6,2.2,.750,5.1,6.9,12.1,3.7,2.2,1.1,2.2,6.2,12.4,94,112,,2019-2020
Jordan Bell,25,2TM,C,29,0,256,6.4,12.2,.522,0.7,2.2,.333,5.6,10.0,.564,.552,3.4,5.6,.613,5.4,9.3,14.7,2.9,0.5,1.8,3.8,3.4,16.9,108,112,,2019-2020
